Date	Price	Open	High	Low	Change %
4-Dec-17	"11,595.00"	"11,162.00"	"11,598.00"	"10,788.00"	3.93
3-Dec-17	"11,157.00"	"10,880.00"	"11,842.00"	"10,299.00"	2.54
2-Dec-17	"10,881.00"	"10,852.00"	"11,187.00"	"10,627.00"	0.11
1-Dec-17	"10,869.00"	"9,907.00"	"10,949.00"	"9,370.10"	9.71
30-Nov-17	"9,907.00"	"9,771.90"	"10,540.00"	"8,821.00"	1.62
29-Nov-17	"9,749.40"	"9,891.90"	"11,427.17"	"9,001.10"	-1.5
28-Nov-17	"9,898.00"	"9,727.10"	"9,977.77"	"9,608.30"	1.74
27-Nov-17	"9,728.80"	"9,303.90"	"9,760.70"	"9,268.90"	4.43
26-Nov-17	"9,316.00"	"8,791.00"	"9,495.00"	"8,769.20"	6.27
25-Nov-17	"8,766.20"	"8,191.60"	"8,770.00"	"8,132.90"	7.01
24-Nov-17	"8,191.60"	"7,977.00"	"8,350.70"	"7,873.00"	2.69
23-Nov-17	"7,977.10"	"8,230.00"	"8,267.60"	"7,977.10"	-3.07
22-Nov-17	"8,230.10"	"8,097.30"	"8,310.00"	"8,064.30"	1.64
21-Nov-17	"8,097.30"	"8,245.10"	"8,380.00"	"7,790.00"	-1.79
20-Nov-17	"8,245.10"	"8,052.80"	"8,310.20"	"7,943.40"	2.37
19-Nov-17	"8,054.20"	"7,770.60"	"8,126.90"	"7,652.00"	3.61
18-Nov-17	"7,773.30"	"7,674.10"	"7,867.00"	"7,419.50"	1.24
17-Nov-17	"7,677.90"	"7,865.00"	"8,029.80"	"7,511.10"	-2.37
16-Nov-17	"7,864.20"	"7,273.70"	"8,012.90"	"7,099.90"	8.05
15-Nov-17	"7,278.30"	"6,589.90"	"7,310.20"	"6,589.90"	10.63
14-Nov-17	"6,579.20"	"6,476.50"	"6,687.80"	"6,315.40"	1.62
13-Nov-17	"6,474.60"	"5,806.50"	"6,680.00"	"5,786.10"	11.21
12-Nov-17	"5,822.10"	"6,282.40"	"6,465.00"	"5,426.00"	-7.6
11-Nov-17	"6,300.70"	"6,541.20"	"6,788.00"	"6,166.00"	-3.69
10-Nov-17	"6,542.20"	"7,123.30"	"7,313.10"	"6,405.20"	-8.2
9-Nov-17	"7,126.20"	"7,447.00"	"7,447.00"	"7,017.60"	-4.25
8-Nov-17	"7,442.40"	"7,102.00"	"7,895.00"	"7,029.90"	4.77
7-Nov-17	"7,103.30"	"6,959.60"	"7,214.40"	"6,959.00"	2.13
6-Nov-17	"6,955.00"	"7,355.10"	"7,429.50"	"6,915.10"	-5.78
5-Nov-17	"7,382.00"	"7,370.90"	"7,595.00"	"7,272.00"	0.18
4-Nov-17	"7,369.00"	"7,104.00"	"7,521.10"	"6,936.50"	1.24
3-Nov-17	"7,278.40"	"7,018.90"	"7,447.50"	"6,926.50"	3.68
2-Nov-17	"7,019.90"	"6,735.00"	"7,315.10"	"6,724.50"	4.35
1-Nov-17	"6,727.30"	"6,450.20"	"6,727.30"	"6,348.00"	4.17
31-Oct-17	"6,458.30"	"6,129.90"	"6,472.10"	"6,082.70"	5.44
30-Oct-17	"6,125.30"	"6,146.00"	"6,237.20"	"6,010.00"	-0.5
29-Oct-17	"6,156.00"	"5,718.10"	"6,330.00"	"5,662.90"	7.61
28-Oct-17	"5,720.60"	"5,759.80"	"5,863.90"	"5,634.70"	-0.68
27-Oct-17	"5,759.60"	"5,890.00"	"6,010.20"	"5,681.20"	-2.21
26-Oct-17	"5,890.00"	"5,724.20"	"5,966.60"	"5,680.50"	2.97
25-Oct-17	"5,720.00"	"5,509.90"	"5,743.90"	"5,367.90"	3.82
24-Oct-17	"5,509.50"	"5,902.50"	"5,902.50"	"5,457.50"	-6.73
23-Oct-17	"5,906.90"	"5,980.50"	"6,051.00"	"5,639.80"	-1.23
22-Oct-17	"5,980.50"	"6,005.10"	"6,069.60"	"5,717.90"	-0.41
21-Oct-17	"6,005.10"	"5,984.90"	"6,190.00"	"5,873.60"	0.34
20-Oct-17	"5,984.50"	"5,694.00"	"6,082.20"	"5,606.40"	5.1
19-Oct-17	"5,694.00"	"5,574.80"	"5,741.00"	"5,505.80"	2.32
18-Oct-17	"5,565.00"	"5,597.70"	"5,597.90"	"5,114.30"	-0.57
17-Oct-17	"5,597.10"	"5,764.80"	"5,779.00"	"5,511.00"	-2.9
16-Oct-17	"5,764.40"	"5,712.20"	"5,803.20"	"5,570.40"	1.15
15-Oct-17	"5,698.60"	"5,838.70"	"5,876.90"	"5,450.00"	-2.34
14-Oct-17	"5,835.00"	"5,636.80"	"5,854.30"	"5,567.30"	3.52
13-Oct-17	"5,636.80"	"5,440.00"	"5,874.30"	"5,376.00"	3.84
12-Oct-17	"5,428.50"	"4,824.90"	"5,437.60"	"4,815.10"	12.51
11-Oct-17	"4,824.90"	"4,777.70"	"4,879.50"	"4,715.00"	1
10-Oct-17	"4,777.00"	"4,782.30"	"4,940.00"	"4,717.50"	-0.11
9-Oct-17	"4,782.30"	"4,612.40"	"4,874.90"	"4,551.30"	3.67
8-Oct-17	"4,613.10"	"4,435.90"	"4,630.00"	"4,417.60"	3.99
7-Oct-17	"4,436.00"	"4,370.00"	"4,477.10"	"4,316.10"	1.49
6-Oct-17	"4,371.00"	"4,312.60"	"4,424.50"	"4,294.00"	1.29
5-Oct-17	"4,315.40"	"4,215.90"	"4,364.60"	"4,134.90"	2.38
4-Oct-17	"4,215.10"	"4,310.60"	"4,353.80"	"4,177.70"	-2.23
3-Oct-17	"4,311.10"	"4,399.30"	"4,439.90"	"4,222.00"	-2.02
2-Oct-17	"4,400.10"	"4,404.30"	"4,482.00"	"4,359.80"	-0.1
1-Oct-17	"4,404.30"	"4,366.60"	"4,420.50"	"4,257.70"	0.85
30-Sep-17	"4,367.00"	"4,168.10"	"4,393.40"	"4,160.10"	4.73
29-Sep-17	"4,169.90"	"4,190.00"	"4,244.60"	"4,024.70"	-0.48
28-Sep-17	"4,190.00"	"4,207.50"	"4,268.60"	"4,125.00"	-0.37
27-Sep-17	"4,205.40"	"3,881.60"	"4,226.50"	"3,878.10"	8.41
26-Sep-17	"3,879.10"	"3,930.00"	"3,983.00"	"3,850.90"	-1.3
25-Sep-17	"3,930.00"	"3,654.70"	"3,977.00"	"3,654.70"	7.59
24-Sep-17	"3,652.80"	"3,779.60"	"3,781.30"	"3,620.00"	-3.35
23-Sep-17	"3,779.60"	"3,598.70"	"3,808.00"	"3,559.10"	5.03
22-Sep-17	"3,598.50"	"3,597.30"	"3,743.60"	"3,493.50"	-0.14
21-Sep-17	"3,603.40"	"3,875.50"	"3,903.70"	"3,564.40"	-6.97
20-Sep-17	"3,873.20"	"3,892.20"	"4,048.00"	"3,834.10"	-0.69
19-Sep-17	"3,900.00"	"4,084.40"	"4,110.00"	"3,836.20"	-4.51
18-Sep-17	"4,084.10"	"3,667.00"	"4,113.90"	"3,667.00"	11.4
17-Sep-17	"3,666.30"	"3,680.10"	"3,775.90"	"3,476.30"	-0.52
16-Sep-17	"3,685.40"	"3,697.10"	"3,874.00"	"3,511.10"	-0.34
15-Sep-17	"3,698.00"	"3,237.40"	"3,809.00"	"2,981.00"	14.2
14-Sep-17	"3,238.10"	"3,850.20"	"3,917.20"	"3,206.20"	-15.89
13-Sep-17	"3,849.70"	"4,149.40"	"4,159.60"	"3,734.00"	-7.08
12-Sep-17	"4,142.90"	"4,198.90"	"4,378.40"	"4,055.50"	-1.43
11-Sep-17	"4,203.00"	"4,234.90"	"4,373.10"	"4,123.00"	-0.69
10-Sep-17	"4,232.10"	"4,315.40"	"4,325.00"	"3,975.80"	-1.99
9-Sep-17	"4,317.90"	"4,304.00"	"4,381.20"	"4,159.40"	0.28
8-Sep-17	"4,305.80"	"4,613.50"	"4,686.20"	"4,107.10"	-6.67
7-Sep-17	"4,613.50"	"4,594.60"	"4,672.80"	"4,465.30"	0.53
6-Sep-17	"4,589.10"	"4,375.00"	"4,631.40"	"4,361.40"	4.9
5-Sep-17	"4,374.90"	"4,210.60"	"4,469.90"	"3,900.10"	4.15
4-Sep-17	"4,200.40"	"4,599.20"	"4,606.00"	"4,056.50"	-8.59
3-Sep-17	"4,595.00"	"4,534.20"	"4,699.80"	"4,331.00"	1.34
2-Sep-17	"4,534.40"	"4,911.80"	"4,969.00"	"4,400.50"	-7.55
1-Sep-17	"4,904.90"	"4,718.30"	"4,927.40"	"4,660.70"	3.96
31-Aug-17	"4,718.20"	"4,567.90"	"4,749.90"	"4,567.90"	3.27
30-Aug-17	"4,569.00"	"4,586.60"	"4,641.10"	"4,481.10"	-0.39
