Date	Price	Scatter	Key
5-Dec-17	"11,595.00"		
4-Dec-17	"11,595.00"		
3-Dec-17	"11,157.00"		
2-Dec-17	"10,881.00"		
1-Dec-17	"10,869.00"		
30-Nov-17	"9,907.00"		
29-Nov-17	"9,749.40"	"9,749.40"	29-Nov-17
28-Nov-17	"9,898.00"		
27-Nov-17	"9,728.80"		
26-Nov-17	"9,316.00"		
25-Nov-17	"8,766.20"		
24-Nov-17	"8,191.60"		
23-Nov-17	"7,977.10"		
22-Nov-17	"8,230.10"		
21-Nov-17	"8,097.30"		
20-Nov-17	"8,245.10"		
19-Nov-17	"8,054.20"		
18-Nov-17	"7,773.30"		
17-Nov-17	"7,677.90"		
16-Nov-17	"7,864.20"		
15-Nov-17	"7,278.30"		
14-Nov-17	"6,579.20"		
13-Nov-17	"6,474.60"		
12-Nov-17	"5,822.10"	"5,822.10"	12-Nov-17
11-Nov-17	"6,300.70"		
10-Nov-17	"6,542.20"		
9-Nov-17	"7,126.20"		
8-Nov-17	"7,442.40"		
7-Nov-17	"7,103.30"		
6-Nov-17	"6,955.00"		
5-Nov-17	"7,382.00"		
4-Nov-17	"7,369.00"		
3-Nov-17	"7,278.40"		
2-Nov-17	"7,019.90"		
1-Nov-17	"6,727.30"		
31-Oct-17	"6,458.30"		
30-Oct-17	"6,125.30"		
29-Oct-17	"6,156.00"		
28-Oct-17	"5,720.60"		
27-Oct-17	"5,759.60"		
26-Oct-17	"5,890.00"		
25-Oct-17	"5,720.00"		
24-Oct-17	"5,509.50"		
23-Oct-17	"5,906.90"		
22-Oct-17	"5,980.50"		
21-Oct-17	"6,005.10"		
20-Oct-17	"5,984.50"		
19-Oct-17	"5,694.00"		
18-Oct-17	"5,565.00"		
17-Oct-17	"5,597.10"		
16-Oct-17	"5,764.40"		
15-Oct-17	"5,698.60"		
14-Oct-17	"5,835.00"		
13-Oct-17	"5,636.80"		
12-Oct-17	"5,428.50"		
11-Oct-17	"4,824.90"		
10-Oct-17	"4,777.00"		
9-Oct-17	"4,782.30"		
8-Oct-17	"4,613.10"		
7-Oct-17	"4,436.00"		
6-Oct-17	"4,371.00"		
5-Oct-17	"4,315.40"		
4-Oct-17	"4,215.10"		
3-Oct-17	"4,311.10"		
2-Oct-17	"4,400.10"		
1-Oct-17	"4,404.30"		
30-Sep-17	"4,367.00"		
29-Sep-17	"4,169.90"		
28-Sep-17	"4,190.00"		
27-Sep-17	"4,205.40"		
26-Sep-17	"3,879.10"		
25-Sep-17	"3,930.00"		
24-Sep-17	"3,652.80"		
23-Sep-17	"3,779.60"		
22-Sep-17	"3,598.50"		
21-Sep-17	"3,603.40"		
20-Sep-17	"3,873.20"		
19-Sep-17	"3,900.00"		
18-Sep-17	"4,084.10"		
17-Sep-17	"3,666.30"		
16-Sep-17	"3,685.40"		
15-Sep-17	"3,698.00"		
14-Sep-17	"3,238.10"		
13-Sep-17	"3,849.70"		
12-Sep-17	"4,142.90"	"4,142.90"	12-Sep-17
11-Sep-17	"4,203.00"		
10-Sep-17	"4,232.10"		
9-Sep-17	"4,317.90"		
8-Sep-17	"4,305.80"		
7-Sep-17	"4,613.50"		
6-Sep-17	"4,589.10"		
5-Sep-17	"4,374.90"		
4-Sep-17	"4,200.40"		
3-Sep-17	"4,595.00"		
2-Sep-17	"4,534.40"		
1-Sep-17	"4,904.90"		
31-Aug-17	"4,718.20"		
30-Aug-17	"4,569.00"		
29-Aug-17	"4,587.10"	"4,587.10"	29-Aug-17
28-Aug-17	"4,383.80"		
27-Aug-17	"4,331.80"		
26-Aug-17	"4,341.70"		
25-Aug-17	"4,351.50"		
24-Aug-17	"4,325.20"		
23-Aug-17	"4,129.10"		
22-Aug-17	"4,074.00"		
21-Aug-17	"4,002.50"		
20-Aug-17	"4,064.30"		
19-Aug-17	"4,145.10"		
18-Aug-17	"4,090.20"		
17-Aug-17	"4,260.00"		
16-Aug-17	"4,386.30"		
15-Aug-17	"4,151.90"		
14-Aug-17	"4,319.50"		
13-Aug-17	"4,053.30"		
12-Aug-17	"3,865.50"		
11-Aug-17	"3,644.10"		
10-Aug-17	"3,407.90"		
9-Aug-17	"3,339.90"		
8-Aug-17	"3,415.00"		
7-Aug-17	"3,396.70"		
6-Aug-17	"3,227.90"		
5-Aug-17	"3,256.40"		
4-Aug-17	"2,860.00"		
3-Aug-17	"2,790.30"		
2-Aug-17	"2,702.00"		
1-Aug-17	"2,731.20"	"2,731.20"	1-Aug-17
