Date,Price,Scatter,HKey
5-Dec-17,11595.00,,
4-Dec-17,11595.00,,
3-Dec-17,11157.00,,
2-Dec-17,10881.00,,
1-Dec-17,10869.00,,
30-Nov-17,9907.00,,
29-Nov-17,9749.40,9749.40,T
28-Nov-17,9898.00,,
27-Nov-17,9728.80,,
26-Nov-17,9316.00,,
25-Nov-17,8766.20,,
24-Nov-17,8191.60,,
23-Nov-17,7977.10,,
22-Nov-17,8230.10,,
21-Nov-17,8097.30,,
20-Nov-17,8245.10,,
19-Nov-17,8054.20,,
18-Nov-17,7773.30,,
17-Nov-17,7677.90,,
16-Nov-17,7864.20,,
15-Nov-17,7278.30,,
14-Nov-17,6579.20,,
13-Nov-17,6474.60,,
12-Nov-17,5822.10,5822.10,S
11-Nov-17,6300.70,,
10-Nov-17,6542.20,,
9-Nov-17,7126.20,,
8-Nov-17,7442.40,,
7-Nov-17,7103.30,,
6-Nov-17,6955.00,,
5-Nov-17,7382.00,,
4-Nov-17,7369.00,,
3-Nov-17,7278.40,,
2-Nov-17,7019.90,,
1-Nov-17,6727.30,,
31-Oct-17,6458.30,,
30-Oct-17,6125.30,,
29-Oct-17,6156.00,,
28-Oct-17,5720.60,,
27-Oct-17,5759.60,,
26-Oct-17,5890.00,,
25-Oct-17,5720.00,,
24-Oct-17,5509.50,,
23-Oct-17,5906.90,,
22-Oct-17,5980.50,,
21-Oct-17,6005.10,,
20-Oct-17,5984.50,,
19-Oct-17,5694.00,,
18-Oct-17,5565.00,,
17-Oct-17,5597.10,,
16-Oct-17,5764.40,,
15-Oct-17,5698.60,,
14-Oct-17,5835.00,,
13-Oct-17,5636.80,,
12-Oct-17,5428.50,,
11-Oct-17,4824.90,,
10-Oct-17,4777.00,,
9-Oct-17,4782.30,,
8-Oct-17,4613.10,,
7-Oct-17,4436.00,,
6-Oct-17,4371.00,,
5-Oct-17,4315.40,,
4-Oct-17,4215.10,,
3-Oct-17,4311.10,,
2-Oct-17,4400.10,,
1-Oct-17,4404.30,,
30-Sep-17,4367.00,,
29-Sep-17,4169.90,,
28-Sep-17,4190.00,,
27-Sep-17,4205.40,,
26-Sep-17,3879.10,,
25-Sep-17,3930.00,,
24-Sep-17,3652.80,,
23-Sep-17,3779.60,,
22-Sep-17,3598.50,,
21-Sep-17,3603.40,,
20-Sep-17,3873.20,,
19-Sep-17,3900.00,,
18-Sep-17,4084.10,,
17-Sep-17,3666.30,,
16-Sep-17,3685.40,,
15-Sep-17,3698.00,,
14-Sep-17,3238.10,,
13-Sep-17,3849.70,,
12-Sep-17,4142.90,4142.90,R
11-Sep-17,4203.00,,
10-Sep-17,4232.10,,
9-Sep-17,4317.90,,
8-Sep-17,4305.80,,
7-Sep-17,4613.50,,
6-Sep-17,4589.10,,
5-Sep-17,4374.90,,
4-Sep-17,4200.40,,
3-Sep-17,4595.00,,
2-Sep-17,4534.40,,
1-Sep-17,4904.90,,
31-Aug-17,4718.20,,
30-Aug-17,4569.00,,
29-Aug-17,4587.10,4587.10,Q
28-Aug-17,4383.80,,
27-Aug-17,4331.80,,
26-Aug-17,4341.70,,
25-Aug-17,4351.50,,
24-Aug-17,4325.20,,
23-Aug-17,4129.10,,
22-Aug-17,4074.00,,
21-Aug-17,4002.50,,
20-Aug-17,4064.30,,
19-Aug-17,4145.10,,
18-Aug-17,4090.20,,
17-Aug-17,4260.00,,
16-Aug-17,4386.30,,
15-Aug-17,4151.90,,
14-Aug-17,4319.50,,
13-Aug-17,4053.30,,
12-Aug-17,3865.50,,
11-Aug-17,3644.10,,
10-Aug-17,3407.90,,
9-Aug-17,3339.90,,
8-Aug-17,3415.00,,
7-Aug-17,3396.70,,
6-Aug-17,3227.90,,
5-Aug-17,3256.40,,
4-Aug-17,2860.00,,
3-Aug-17,2790.30,,
2-Aug-17,2702.00,,
1-Aug-17,2731.20,2731.20,P
31-Jul-17,2856.00,,
30-Jul-17,2749.00,,
29-Jul-17,2714.10,,
28-Jul-17,2784.80,,
27-Jul-17,2664.90,,
26-Jul-17,2525.70,,
25-Jul-17,2560.90,,
24-Jul-17,2769.70,,
23-Jul-17,2747.50,,
22-Jul-17,2845.70,,
21-Jul-17,2664.00,,
20-Jul-17,2856.30,,
19-Jul-17,2253.10,,
18-Jul-17,2302.10,,
17-Jul-17,2219.00,,
16-Jul-17,1924.90,,
15-Jul-17,1978.60,,
14-Jul-17,2205.10,,
13-Jul-17,2329.00,,
12-Jul-17,2374.40,,
